,load (kW),DAM price (euro/kWh)
1/3/21 0:00,1.152,0.04361
1/3/21 0:15,1.116,0.0425
1/3/21 0:30,1.164,0.0425
1/3/21 0:45,1.2,0.0425
1/3/21 1:00,1.152,0.0425
1/3/21 1:15,1.164,0.04096
1/3/21 1:30,1.2,0.04096
1/3/21 1:45,1.176,0.04096
1/3/21 2:00,1.14,0.04096
1/3/21 2:15,1.2,0.041
1/3/21 2:30,1.164,0.041
1/3/21 2:45,1.176,0.041
1/3/21 3:00,1.212,0.041
1/3/21 3:15,1.212,0.04095
1/3/21 3:30,1.2,0.04095
1/3/21 3:45,1.152,0.04095
1/3/21 4:00,1.212,0.04095
1/3/21 4:15,1.236,0.0408
1/3/21 4:30,1.044,0.0408
1/3/21 4:45,1.152,0.0408
1/3/21 5:00,1.212,0.0408
1/3/21 5:15,1.236,0.04494
1/3/21 5:30,1.152,0.04494
1/3/21 5:45,1.2,0.04494
1/3/21 6:00,1.308,0.04494
1/3/21 6:15,1.26,0.05737
1/3/21 6:30,1.164,0.05737
1/3/21 6:45,1.2,0.05737
1/3/21 7:00,1.236,0.05737
1/3/21 7:15,1.284,0.06509
1/3/21 7:30,1.416,0.06509
1/3/21 7:45,1.452,0.06509
1/3/21 8:00,1.752,0.06509
1/3/21 8:15,0.216,0.06638
1/3/21 8:30,0.168,0.06638
1/3/21 8:45,0.192,0.06638
1/3/21 9:00,0.084,0.06638
1/3/21 9:15,0.072,0.05916
1/3/21 9:30,0.144,0.05916
1/3/21 9:45,0.12,0.05916
1/3/21 10:00,0.456,0.05916
1/3/21 10:15,0.108,0.0524
1/3/21 10:30,0.216,0.0524
1/3/21 10:45,1.788,0.0524
1/3/21 11:00,-2.18E-11,0.0524
1/3/21 11:15,0.12,0.0434
1/3/21 11:30,0.06,0.0434
1/3/21 11:45,0.012,0.0434
1/3/21 12:00,0.036,0.0434
1/3/21 12:15,-0.204,0.04004
1/3/21 12:30,-0.132,0.04004
1/3/21 12:45,-0.048,0.04004
1/3/21 13:00,0.12,0.04004
1/3/21 13:15,-0.108,0.03987
1/3/21 13:30,-0.12,0.03987
1/3/21 13:45,0.024,0.03987
1/3/21 14:00,-0.144,0.03987
1/3/21 14:15,-0.108,0.04003
1/3/21 14:30,-0.288,0.04003
1/3/21 14:45,-0.348,0.04003
1/3/21 15:00,-0.012,0.04003
1/3/21 15:15,-0.252,0.0399
1/3/21 15:30,-0.072,0.0399
1/3/21 15:45,-0.192,0.0399
1/3/21 16:00,2.256,0.0399
1/3/21 16:15,0.144,0.04333
1/3/21 16:30,0,0.04333
1/3/21 16:45,1.884,0.04333
1/3/21 17:00,0.684,0.04333
1/3/21 17:15,0.192,0.055
1/3/21 17:30,3.732,0.055
1/3/21 17:45,0.852,0.055
1/3/21 18:00,0.204,0.055
1/3/21 18:15,0.192,0.06849
1/3/21 18:30,0.228,0.06849
1/3/21 18:45,0.192,0.06849
1/3/21 19:00,0.276,0.06849
1/3/21 19:15,3.336,0.06499
1/3/21 19:30,2.508,0.06499
1/3/21 19:45,0.312,0.06499
1/3/21 20:00,2.46,0.06499
1/3/21 20:15,1.26,0.05736
1/3/21 20:30,1.512,0.05736
1/3/21 20:45,1.512,0.05736
1/3/21 21:00,2.64,0.05736
1/3/21 21:15,1.272,0.05085
1/3/21 21:30,1.212,0.05085
1/3/21 21:45,1.26,0.05085
1/3/21 22:00,1.224,0.05085
1/3/21 22:15,1.188,0.04838
1/3/21 22:30,1.212,0.04838
1/3/21 22:45,1.188,0.04838
1/3/21 23:00,1.188,0.04838
1/3/21 23:15,1.152,0.04442
1/3/21 23:30,1.164,0.04442
1/3/21 23:45,1.176,0.04442
2/3/21 0:00,1.2,0.04442
2/3/21 0:15,1.176,0.04432
2/3/21 0:30,1.14,0.04432
2/3/21 0:45,1.2,0.04432
2/3/21 1:00,1.2,0.04432
2/3/21 1:15,1.176,0.04389
2/3/21 1:30,1.14,0.04389
2/3/21 1:45,1.2,0.04389
2/3/21 2:00,1.224,0.04389
2/3/21 2:15,1.14,0.04336
2/3/21 2:30,1.14,0.04336
2/3/21 2:45,1.152,0.04336
2/3/21 3:00,1.2,0.04336
2/3/21 3:15,1.596,0.04214
2/3/21 3:30,1.956,0.04214
2/3/21 3:45,1.188,0.04214
2/3/21 4:00,1.236,0.04214
2/3/21 4:15,1.212,0.0421
2/3/21 4:30,1.212,0.0421
2/3/21 4:45,1.26,0.0421
2/3/21 5:00,1.164,0.0421
2/3/21 5:15,1.392,0.04727
2/3/21 5:30,1.992,0.04727
2/3/21 5:45,0.132,0.04727
2/3/21 6:00,0.12,0.04727
2/3/21 6:15,0.228,0.05591
2/3/21 6:30,0.264,0.05591
2/3/21 6:45,0.192,0.05591
2/3/21 7:00,0.276,0.05591
2/3/21 7:15,0.348,0.06607
2/3/21 7:30,0.312,0.06607
2/3/21 7:45,0.228,0.06607
2/3/21 8:00,0.6,0.06607
2/3/21 8:15,0.42,0.07104
2/3/21 8:30,0.96,0.07104
2/3/21 8:45,2.136,0.07104
2/3/21 9:00,0.492,0.07104
2/3/21 9:15,0.612,0.05873
2/3/21 9:30,0.504,0.05873
2/3/21 9:45,0.216,0.05873
2/3/21 10:00,0.408,0.05873
2/3/21 10:15,0.324,0.04831
2/3/21 10:30,0.264,0.04831
2/3/21 10:45,0.048,0.04831
2/3/21 11:00,0.096,0.04831
2/3/21 11:15,-0.012,0.0399
2/3/21 11:30,-0.096,0.0399
2/3/21 11:45,-0.06,0.0399
2/3/21 12:00,1.464,0.0399
2/3/21 12:15,1.524,0.0399
2/3/21 12:30,-0.24,0.0399
2/3/21 12:45,-0.216,0.0399
2/3/21 13:00,-0.264,0.0399
